,# of evaluations,epsilon,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7
0,0,0.1223442870357293,1.8758046156493398,2.8282712666813894,4.173082779547285,0.9905533620220281,0.02415978409901058,4.791844039160883,1.3572858810061683,1.3788529068244606
1,1,0.12234428762057742,1.8758046256493397,2.8282712666813894,4.173082779547285,0.9905533620220281,0.02415978409901058,4.791844039160883,1.3572858810061683,1.3788529068244606
2,2,0.12234428704235698,1.8758046156493398,2.8282712766813893,4.173082779547285,0.9905533620220281,0.02415978409901058,4.791844039160883,1.3572858810061683,1.3788529068244606
3,3,0.12234428743492569,1.8758046156493398,2.8282712666813894,4.173082789547285,0.9905533620220281,0.02415978409901058,4.791844039160883,1.3572858810061683,1.3788529068244606
4,4,0.12234428757432513,1.8758046156493398,2.8282712666813894,4.173082779547285,0.9905533720220282,0.02415978409901058,4.791844039160883,1.3572858810061683,1.3788529068244606
5,5,0.12234428696101735,1.8758046156493398,2.8282712666813894,4.173082779547285,0.9905533620220281,0.024159794099010583,4.791844039160883,1.3572858810061683,1.3788529068244606
6,6,0.12234428708962716,1.8758046156493398,2.8282712666813894,4.173082779547285,0.9905533620220281,0.02415978409901058,4.791844049160883,1.3572858810061683,1.3788529068244606
7,7,0.12234428686551763,1.8758046156493398,2.8282712666813894,4.173082779547285,0.9905533620220281,0.02415978409901058,4.791844039160883,1.3572858910061683,1.3788529068244606
8,8,0.12234428706485169,1.8758046156493398,2.8282712666813894,4.173082779547285,0.9905533620220281,0.02415978409901058,4.791844039160883,1.3572858810061683,1.3788529168244605
9,9,0.11429128742476544,1.81731980421112,2.8276084996179365,4.133163141119087,0.9366937799499815,0.031630979983189464,4.786454253321023,1.374307048814719,1.3759406683185573
10,10,0.11429128790959256,1.81731981421112,2.8276084996179365,4.133163141119087,0.9366937799499815,0.031630979983189464,4.786454253321023,1.374307048814719,1.3759406683185573
11,11,0.11429128743135376,1.81731980421112,2.8276085096179364,4.133163141119087,0.9366937799499815,0.031630979983189464,4.786454253321023,1.374307048814719,1.3759406683185573
12,12,0.11429128782377099,1.81731980421112,2.8276084996179365,4.133163151119087,0.9366937799499815,0.031630979983189464,4.786454253321023,1.374307048814719,1.3759406683185573
13,13,0.11429128796715912,1.81731980421112,2.8276084996179365,4.133163141119087,0.9366937899499815,0.031630979983189464,4.786454253321023,1.374307048814719,1.3759406683185573
14,14,0.11429128735532486,1.81731980421112,2.8276084996179365,4.133163141119087,0.9366937799499815,0.031630989983189466,4.786454253321023,1.374307048814719,1.3759406683185573
15,15,0.11429128743312456,1.81731980421112,2.8276084996179365,4.133163141119087,0.9366937799499815,0.031630979983189464,4.786454263321023,1.374307048814719,1.3759406683185573
16,16,0.11429128719738718,1.81731980421112,2.8276084996179365,4.133163141119087,0.9366937799499815,0.031630979983189464,4.786454253321023,1.374307058814719,1.3759406683185573
17,17,0.11429128743965884,1.81731980421112,2.8276084996179365,4.133163141119087,0.9366937799499815,0.031630979983189464,4.786454253321023,1.374307048814719,1.3759406783185573
18,18,0.05049788445045879,0.9710550301645486,2.8142406003653115,3.3204675331067515,0.0,0.1656541127892799,4.833874115715942,1.9184940029578212,1.365734061691586
19,19,0.05049788394210132,0.9710550401645487,2.8142406003653115,3.3204675331067515,0.0,0.1656541127892799,4.833874115715942,1.9184940029578212,1.365734061691586
20,20,0.050497884444073673,0.9710550301645486,2.8142406103653115,3.3204675331067515,0.0,0.1656541127892799,4.833874115715942,1.9184940029578212,1.365734061691586
21,21,0.05049788444605006,0.9710550301645486,2.8142406003653115,3.3204675431067514,0.0,0.1656541127892799,4.833874115715942,1.9184940029578212,1.365734061691586
22,22,0.05049788451042424,0.9710550301645486,2.8142406003653115,3.3204675331067515,1e-08,0.1656541127892799,4.833874115715942,1.9184940029578212,1.365734061691586
23,23,0.0504978843734805,0.9710550301645486,2.8142406003653115,3.3204675331067515,0.0,0.1656541227892799,4.833874115715942,1.9184940029578212,1.365734061691586
24,24,0.050497884069813294,0.9710550301645486,2.8142406003653115,3.3204675331067515,0.0,0.1656541127892799,4.833874125715942,1.9184940029578212,1.365734061691586
25,25,0.05049788451773857,0.9710550301645486,2.8142406003653115,3.3204675331067515,0.0,0.1656541127892799,4.833874115715942,1.9184940129578212,1.365734061691586
26,26,0.050497884650260824,0.9710550301645486,2.8142406003653115,3.3204675331067515,0.0,0.1656541127892799,4.833874115715942,1.9184940029578212,1.365734071691586
27,27,0.038043239590945965,1.2211296037633277,2.819771904229987,3.3536209521910214,0.0,0.23225725600243455,5.051216948606177,1.7370121042103956,1.1793756097488137
28,28,0.03804323937817733,1.2211296137633276,2.819771904229987,3.3536209521910214,0.0,0.23225725600243455,5.051216948606177,1.7370121042103956,1.1793756097488137
29,29,0.038043239577888806,1.2211296037633277,2.819771914229987,3.3536209521910214,0.0,0.23225725600243455,5.051216948606177,1.7370121042103956,1.1793756097488137
30,30,0.03804323960510713,1.2211296037633277,2.819771904229987,3.3536209621910213,0.0,0.23225725600243455,5.051216948606177,1.7370121042103956,1.1793756097488137
31,31,0.03804323966351224,1.2211296037633277,2.819771904229987,3.3536209521910214,1e-08,0.23225725600243455,5.051216948606177,1.7370121042103956,1.1793756097488137
32,32,0.03804323957729164,1.2211296037633277,2.819771904229987,3.3536209521910214,0.0,0.23225726600243454,5.051216948606177,1.7370121042103956,1.1793756097488137
33,33,0.03804323950799675,1.2211296037633277,2.819771904229987,3.3536209521910214,0.0,0.23225725600243455,5.051216958606177,1.7370121042103956,1.1793756097488137
34,34,0.03804323919881597,1.2211296037633277,2.819771904229987,3.3536209521910214,0.0,0.23225725600243455,5.051216948606177,1.7370121142103956,1.1793756097488137
35,35,0.038043239514224586,1.2211296037633277,2.819771904229987,3.3536209521910214,0.0,0.23225725600243455,5.051216948606177,1.7370121042103956,1.1793756197488137
36,36,0.03307189647451176,1.2887750169887062,2.828395807560676,3.354680591512922,0.0,0.2606991150424672,5.09674806171824,1.8526443765336047,1.164562547325272
37,37,0.03307189633670357,1.2887750269887062,2.828395807560676,3.354680591512922,0.0,0.2606991150424672,5.09674806171824,1.8526443765336047,1.164562547325272
38,38,0.03307189646950081,1.2887750169887062,2.828395817560676,3.354680591512922,0.0,0.2606991150424672,5.09674806171824,1.8526443765336047,1.164562547325272
39,39,0.03307189648829472,1.2887750169887062,2.828395807560676,3.354680601512922,0.0,0.2606991150424672,5.09674806171824,1.8526443765336047,1.164562547325272
40,40,0.03307189653196516,1.2887750169887062,2.828395807560676,3.354680591512922,1e-08,0.2606991150424672,5.09674806171824,1.8526443765336047,1.164562547325272
41,41,0.033071896461663086,1.2887750169887062,2.828395807560676,3.354680591512922,0.0,0.2606991250424672,5.09674806171824,1.8526443765336047,1.164562547325272
42,42,0.033071896422599126,1.2887750169887062,2.828395807560676,3.354680591512922,0.0,0.2606991150424672,5.09674807171824,1.8526443765336047,1.164562547325272
43,43,0.03307189625451974,1.2887750169887062,2.828395807560676,3.354680591512922,0.0,0.2606991150424672,5.09674806171824,1.8526443865336046,1.164562547325272
44,44,0.033071896397783115,1.2887750169887062,2.828395807560676,3.354680591512922,0.0,0.2606991150424672,5.09674806171824,1.8526443765336047,1.164562557325272
45,45,0.030250578009202618,1.4070149245918506,2.836674300992302,3.3545642199220715,0.0,0.3090422077606302,5.1613801977088185,2.0002396265963687,1.1997309021897729
46,46,0.030250578022569363,1.4070149345918506,2.836674300992302,3.3545642199220715,0.0,0.3090422077606302,5.1613801977088185,2.0002396265963687,1.1997309021897729
47,47,0.03025057802744839,1.4070149245918506,2.836674310992302,3.3545642199220715,0.0,0.3090422077606302,5.1613801977088185,2.0002396265963687,1.1997309021897729
48,48,0.030250578010883867,1.4070149245918506,2.836674300992302,3.3545642299220715,0.0,0.3090422077606302,5.1613801977088185,2.0002396265963687,1.1997309021897729
49,49,0.030250578053236898,1.4070149245918506,2.836674300992302,3.3545642199220715,1e-08,0.3090422077606302,5.1613801977088185,2.0002396265963687,1.1997309021897729
50,50,0.030250577995787477,1.4070149245918506,2.836674300992302,3.3545642199220715,0.0,0.3090422177606302,5.1613801977088185,2.0002396265963687,1.1997309021897729
51,51,0.030250578036978913,1.4070149245918506,2.836674300992302,3.3545642199220715,0.0,0.3090422077606302,5.1613802077088184,2.0002396265963687,1.1997309021897729
