,# of evaluations,epsilon,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15,theta_16,theta_17,theta_18,theta_19,theta_20,theta_21,theta_22,theta_23,theta_24,theta_25,theta_26,theta_27,theta_28,theta_29,theta_30,theta_31,theta_32,theta_33,theta_34,theta_35,theta_36,theta_37,theta_38,theta_39,theta_40,theta_41,theta_42,theta_43,theta_44,theta_45,theta_46,theta_47,theta_48,theta_49,theta_50,theta_51,theta_52,theta_53,theta_54,theta_55,theta_56,theta_57,theta_58,theta_59,theta_60,theta_61,theta_62,theta_63,theta_64,theta_65,theta_66,theta_67,theta_68,theta_69,theta_70,theta_71
0,0,0.10868302628602347,3.665420305829258,4.216037903429347,5.2791226669112525,2.384792104253192,1.799668226922403,2.0677032111697,0.8793664600443544,0.884905016088441,4.0680823597795746,0.28798459232394263,0.5849630509735978,2.5661201284483184,4.530079047003755,1.1823108598970071,1.6609381909322491,5.232060629766276,5.353002207534763,3.4964020550670045,6.075883781981607,3.4822993470310992,0.08554974144440058,1.0118550308484837,5.9329563827181016,4.809915517339096,2.544286734556065,3.1189095537888187,0.6318805046660224,1.5871059660568072,4.8170143142681665,1.5606582521233514,0.23426752910412102,4.901586639747508,2.3176527880335835,3.5233804562873705,0.791455361514019,1.059301027046598,3.2296211949194773,2.1188795140440067,1.466409792849952,3.6546618001964504,2.0073607564882634,3.477494525754709,0.2799421424098491,0.8799529114561164,4.116703659777566,2.7617199570396473,3.506026306399127,3.877416916672463,0.24284702232192223,0.29321136861650127,3.128080986717712,5.30567592425352,4.199432663495052,4.5801517701670855,4.459173247077664,3.807469268386396,5.416773371853468,5.039323040960581,5.7087124459621705,0.5589916092807931,2.3897340323728495,4.384882980635525,5.211581066911199,6.075707039494941,1.3832840862859581,3.8411199195559176,4.673441594091103,1.3159852999984205,3.7186302665034976,2.126162423161545,4.220530919011445,2.148806997726294
1,1,0.1086830245103769,3.665420315829258,4.216037903429347,5.2791226669112525,2.384792104253192,1.799668226922403,2.0677032111697,0.8793664600443544,0.884905016088441,4.0680823597795746,0.28798459232394263,0.5849630509735978,2.5661201284483184,4.530079047003755,1.1823108598970071,1.6609381909322491,5.232060629766276,5.353002207534763,3.4964020550670045,6.075883781981607,3.4822993470310992,0.08554974144440058,1.0118550308484837,5.9329563827181016,4.809915517339096,2.544286734556065,3.1189095537888187,0.6318805046660224,1.5871059660568072,4.8170143142681665,1.5606582521233514,0.23426752910412102,4.901586639747508,2.3176527880335835,3.5233804562873705,0.791455361514019,1.059301027046598,3.2296211949194773,2.1188795140440067,1.466409792849952,3.6546618001964504,2.0073607564882634,3.477494525754709,0.2799421424098491,0.8799529114561164,4.116703659777566,2.7617199570396473,3.506026306399127,3.877416916672463,0.24284702232192223,0.29321136861650127,3.128080986717712,5.30567592425352,4.199432663495052,4.5801517701670855,4.459173247077664,3.807469268386396,5.416773371853468,5.039323040960581,5.7087124459621705,0.5589916092807931,2.3897340323728495,4.384882980635525,5.211581066911199,6.075707039494941,1.3832840862859581,3.8411199195559176,4.673441594091103,1.3159852999984205,3.7186302665034976,2.126162423161545,4.220530919011445,2.148806997726294
2,2,0.10868302586510016,3.665420305829258,4.216037913429347,5.2791226669112525,2.384792104253192,1.799668226922403,2.0677032111697,0.8793664600443544,0.884905016088441,4.0680823597795746,0.28798459232394263,0.5849630509735978,2.5661201284483184,4.530079047003755,1.1823108598970071,1.6609381909322491,5.232060629766276,5.353002207534763,3.4964020550670045,6.075883781981607,3.4822993470310992,0.08554974144440058,1.0118550308484837,5.9329563827181016,4.809915517339096,2.544286734556065,3.1189095537888187,0.6318805046660224,1.5871059660568072,4.8170143142681665,1.5606582521233514,0.23426752910412102,4.901586639747508,2.3176527880335835,3.5233804562873705,0.791455361514019,1.059301027046598,3.2296211949194773,2.1188795140440067,1.466409792849952,3.6546618001964504,2.0073607564882634,3.477494525754709,0.2799421424098491,0.8799529114561164,4.116703659777566,2.7617199570396473,3.506026306399127,3.877416916672463,0.24284702232192223,0.29321136861650127,3.128080986717712,5.30567592425352,4.199432663495052,4.5801517701670855,4.459173247077664,3.807469268386396,5.416773371853468,5.039323040960581,5.7087124459621705,0.5589916092807931,2.3897340323728495,4.384882980635525,5.211581066911199,6.075707039494941,1.3832840862859581,3.8411199195559176,4.673441594091103,1.3159852999984205,3.7186302665034976,2.126162423161545,4.220530919011445,2.148806997726294
3,3,0.1086830268279499,3.665420305829258,4.216037903429347,5.2791226769112525,2.384792104253192,1.799668226922403,2.0677032111697,0.8793664600443544,0.884905016088441,4.0680823597795746,0.28798459232394263,0.5849630509735978,2.5661201284483184,4.530079047003755,1.1823108598970071,1.6609381909322491,5.232060629766276,5.353002207534763,3.4964020550670045,6.075883781981607,3.4822993470310992,0.08554974144440058,1.0118550308484837,5.9329563827181016,4.809915517339096,2.544286734556065,3.1189095537888187,0.6318805046660224,1.5871059660568072,4.8170143142681665,1.5606582521233514,0.23426752910412102,4.901586639747508,2.3176527880335835,3.5233804562873705,0.791455361514019,1.059301027046598,3.2296211949194773,2.1188795140440067,1.466409792849952,3.6546618001964504,2.0073607564882634,3.477494525754709,0.2799421424098491,0.8799529114561164,4.116703659777566,2.7617199570396473,3.506026306399127,3.877416916672463,0.24284702232192223,0.29321136861650127,3.128080986717712,5.30567592425352,4.199432663495052,4.5801517701670855,4.459173247077664,3.807469268386396,5.416773371853468,5.039323040960581,5.7087124459621705,0.5589916092807931,2.3897340323728495,4.384882980635525,5.211581066911199,6.075707039494941,1.3832840862859581,3.8411199195559176,4.673441594091103,1.3159852999984205,3.7186302665034976,2.126162423161545,4.220530919011445,2.148806997726294
4,4,0.10868302545969144,3.665420305829258,4.216037903429347,5.2791226669112525,2.384792114253192,1.799668226922403,2.0677032111697,0.8793664600443544,0.884905016088441,4.0680823597795746,0.28798459232394263,0.5849630509735978,2.5661201284483184,4.530079047003755,1.1823108598970071,1.6609381909322491,5.232060629766276,5.353002207534763,3.4964020550670045,6.075883781981607,3.4822993470310992,0.08554974144440058,1.0118550308484837,5.9329563827181016,4.809915517339096,2.544286734556065,3.1189095537888187,0.6318805046660224,1.5871059660568072,4.8170143142681665,1.5606582521233514,0.23426752910412102,4.901586639747508,2.3176527880335835,3.5233804562873705,0.791455361514019,1.059301027046598,3.2296211949194773,2.1188795140440067,1.466409792849952,3.6546618001964504,2.0073607564882634,3.477494525754709,0.2799421424098491,0.8799529114561164,4.116703659777566,2.7617199570396473,3.506026306399127,3.877416916672463,0.24284702232192223,0.29321136861650127,3.128080986717712,5.30567592425352,4.199432663495052,4.5801517701670855,4.459173247077664,3.807469268386396,5.416773371853468,5.039323040960581,5.7087124459621705,0.5589916092807931,2.3897340323728495,4.384882980635525,5.211581066911199,6.075707039494941,1.3832840862859581,3.8411199195559176,4.673441594091103,1.3159852999984205,3.7186302665034976,2.126162423161545,4.220530919011445,2.148806997726294
5,5,0.1086830272310367,3.665420305829258,4.216037903429347,5.2791226669112525,2.384792104253192,1.7996682369224029,2.0677032111697,0.8793664600443544,0.884905016088441,4.0680823597795746,0.28798459232394263,0.5849630509735978,2.5661201284483184,4.530079047003755,1.1823108598970071,1.6609381909322491,5.232060629766276,5.353002207534763,3.4964020550670045,6.075883781981607,3.4822993470310992,0.08554974144440058,1.0118550308484837,5.9329563827181016,4.809915517339096,2.544286734556065,3.1189095537888187,0.6318805046660224,1.5871059660568072,4.8170143142681665,1.5606582521233514,0.23426752910412102,4.901586639747508,2.3176527880335835,3.5233804562873705,0.791455361514019,1.059301027046598,3.2296211949194773,2.1188795140440067,1.466409792849952,3.6546618001964504,2.0073607564882634,3.477494525754709,0.2799421424098491,0.8799529114561164,4.116703659777566,2.7617199570396473,3.506026306399127,3.877416916672463,0.24284702232192223,0.29321136861650127,3.128080986717712,5.30567592425352,4.199432663495052,4.5801517701670855,4.459173247077664,3.807469268386396,5.416773371853468,5.039323040960581,5.7087124459621705,0.5589916092807931,2.3897340323728495,4.384882980635525,5.211581066911199,6.075707039494941,1.3832840862859581,3.8411199195559176,4.673441594091103,1.3159852999984205,3.7186302665034976,2.126162423161545,4.220530919011445,2.148806997726294
6,6,0.10868302858072974,3.665420305829258,4.216037903429347,5.2791226669112525,2.384792104253192,1.799668226922403,2.0677032211696997,0.8793664600443544,0.884905016088441,4.0680823597795746,0.28798459232394263,0.5849630509735978,2.5661201284483184,4.530079047003755,1.1823108598970071,1.6609381909322491,5.232060629766276,5.353002207534763,3.4964020550670045,6.075883781981607,3.4822993470310992,0.08554974144440058,1.0118550308484837,5.9329563827181016,4.809915517339096,2.544286734556065,3.1189095537888187,0.6318805046660224,1.5871059660568072,4.8170143142681665,1.5606582521233514,0.23426752910412102,4.901586639747508,2.3176527880335835,3.5233804562873705,0.791455361514019,1.059301027046598,3.2296211949194773,2.1188795140440067,1.466409792849952,3.6546618001964504,2.0073607564882634,3.477494525754709,0.2799421424098491,0.8799529114561164,4.116703659777566,2.7617199570396473,3.506026306399127,3.877416916672463,0.24284702232192223,0.29321136861650127,3.128080986717712,5.30567592425352,4.199432663495052,4.5801517701670855,4.459173247077664,3.807469268386396,5.416773371853468,5.039323040960581,5.7087124459621705,0.5589916092807931,2.3897340323728495,4.384882980635525,5.211581066911199,6.075707039494941,1.3832840862859581,3.8411199195559176,4.673441594091103,1.3159852999984205,3.7186302665034976,2.126162423161545,4.220530919011445,2.148806997726294
7,7,0.10868302666567803,3.665420305829258,4.216037903429347,5.2791226669112525,2.384792104253192,1.799668226922403,2.0677032111697,0.8793664700443544,0.884905016088441,4.0680823597795746,0.28798459232394263,0.5849630509735978,2.5661201284483184,4.530079047003755,1.1823108598970071,1.6609381909322491,5.232060629766276,5.353002207534763,3.4964020550670045,6.075883781981607,3.4822993470310992,0.08554974144440058,1.0118550308484837,5.9329563827181016,4.809915517339096,2.544286734556065,3.1189095537888187,0.6318805046660224,1.5871059660568072,4.8170143142681665,1.5606582521233514,0.23426752910412102,4.901586639747508,2.3176527880335835,3.5233804562873705,0.791455361514019,1.059301027046598,3.2296211949194773,2.1188795140440067,1.466409792849952,3.6546618001964504,2.0073607564882634,3.477494525754709,0.2799421424098491,0.8799529114561164,4.116703659777566,2.7617199570396473,3.506026306399127,3.877416916672463,0.24284702232192223,0.29321136861650127,3.128080986717712,5.30567592425352,4.199432663495052,4.5801517701670855,4.459173247077664,3.807469268386396,5.416773371853468,5.039323040960581,5.7087124459621705,0.5589916092807931,2.3897340323728495,4.384882980635525,5.211581066911199,6.075707039494941,1.3832840862859581,3.8411199195559176,4.673441594091103,1.3159852999984205,3.7186302665034976,2.126162423161545,4.220530919011445,2.148806997726294
8,8,0.1086830254362045,3.665420305829258,4.216037903429347,5.2791226669112525,2.384792104253192,1.799668226922403,2.0677032111697,0.8793664600443544,0.884905026088441,4.0680823597795746,0.28798459232394263,0.5849630509735978,2.5661201284483184,4.530079047003755,1.1823108598970071,1.6609381909322491,5.232060629766276,5.353002207534763,3.4964020550670045,6.075883781981607,3.4822993470310992,0.08554974144440058,1.0118550308484837,5.9329563827181016,4.809915517339096,2.544286734556065,3.1189095537888187,0.6318805046660224,1.5871059660568072,4.8170143142681665,1.5606582521233514,0.23426752910412102,4.901586639747508,2.3176527880335835,3.5233804562873705,0.791455361514019,1.059301027046598,3.2296211949194773,2.1188795140440067,1.466409792849952,3.6546618001964504,2.0073607564882634,3.477494525754709,0.2799421424098491,0.8799529114561164,4.116703659777566,2.7617199570396473,3.506026306399127,3.877416916672463,0.24284702232192223,0.29321136861650127,3.128080986717712,5.30567592425352,4.199432663495052,4.5801517701670855,4.459173247077664,3.807469268386396,5.416773371853468,5.039323040960581,5.7087124459621705,0.5589916092807931,2.3897340323728495,4.384882980635525,5.211581066911199,6.075707039494941,1.3832840862859581,3.8411199195559176,4.673441594091103,1.3159852999984205,3.7186302665034976,2.126162423161545,4.220530919011445,2.148806997726294
9,9,0.10868302628602347,3.665420305829258,4.216037903429347,5.2791226669112525,2.384792104253192,1.799668226922403,2.0677032111697,0.8793664600443544,0.884905016088441,4.0680823697795745,0.28798459232394263,0.5849630509735978,2.5661201284483184,4.530079047003755,1.1823108598970071,1.6609381909322491,5.232060629766276,5.353002207534763,3.4964020550670045,6.075883781981607,3.4822993470310992,0.08554974144440058,1.0118550308484837,5.9329563827181016,4.809915517339096,2.544286734556065,3.1189095537888187,0.6318805046660224,1.5871059660568072,4.8170143142681665,1.5606582521233514,0.23426752910412102,4.901586639747508,2.3176527880335835,3.5233804562873705,0.791455361514019,1.059301027046598,3.2296211949194773,2.1188795140440067,1.466409792849952,3.6546618001964504,2.0073607564882634,3.477494525754709,0.2799421424098491,0.8799529114561164,4.116703659777566,2.7617199570396473,3.506026306399127,3.877416916672463,0.24284702232192223,0.29321136861650127,3.128080986717712,5.30567592425352,4.199432663495052,4.5801517701670855,4.459173247077664,3.807469268386396,5.416773371853468,5.039323040960581,5.7087124459621705,0.5589916092807931,2.3897340323728495,4.384882980635525,5.211581066911199,6.075707039494941,1.3832840862859581,3.8411199195559176,4.673441594091103,1.3159852999984205,3.7186302665034976,2.126162423161545,4.220530919011445,2.148806997726294
