,# of evaluations,epsilon,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7
0,0,0.10534948330667229,3.1231819618023615,0.3693693425129413,0.6428312926581695,2.549851664137915,3.809571998147185,4.793083094553667,5.723146728645714,4.397474096759781
1,1,0.10534948322918644,3.1231819718023615,0.3693693425129413,0.6428312926581695,2.549851664137915,3.809571998147185,4.793083094553667,5.723146728645714,4.397474096759781
2,2,0.1053494832757275,3.1231819618023615,0.3693693525129413,0.6428312926581695,2.549851664137915,3.809571998147185,4.793083094553667,5.723146728645714,4.397474096759781
3,3,0.10534948276292623,3.1231819618023615,0.3693693425129413,0.6428313026581696,2.549851664137915,3.809571998147185,4.793083094553667,5.723146728645714,4.397474096759781
4,4,0.10534948331001669,3.1231819618023615,0.3693693425129413,0.6428312926581695,2.549851674137915,3.809571998147185,4.793083094553667,5.723146728645714,4.397474096759781
5,5,0.10534948242515081,3.1231819618023615,0.3693693425129413,0.6428312926581695,2.549851664137915,3.809572008147185,4.793083094553667,5.723146728645714,4.397474096759781
6,6,0.10534948444397865,3.1231819618023615,0.3693693425129413,0.6428312926581695,2.549851664137915,3.809571998147185,4.793083104553667,5.723146728645714,4.397474096759781
7,7,0.10534948374724029,3.1231819618023615,0.3693693425129413,0.6428312926581695,2.549851664137915,3.809571998147185,4.793083094553667,5.723146738645714,4.397474096759781
8,8,0.10534948309283444,3.1231819618023615,0.3693693425129413,0.6428312926581695,2.549851664137915,3.809571998147185,4.793083094553667,5.723146728645714,4.397474106759781
9,9,0.08222617594152032,3.130930546909243,0.3724638213527792,0.6972058988646671,2.5495172247173135,3.897724146228296,4.67935245853373,5.679089928770756,4.41885788178026
10,10,0.08222617588920335,3.130930556909243,0.3724638213527792,0.6972058988646671,2.5495172247173135,3.897724146228296,4.67935245853373,5.679089928770756,4.41885788178026
11,11,0.08222617595309364,3.130930546909243,0.3724638313527792,0.6972058988646671,2.5495172247173135,3.897724146228296,4.67935245853373,5.679089928770756,4.41885788178026
12,12,0.08222617549889533,3.130930546909243,0.3724638213527792,0.6972059088646672,2.5495172247173135,3.897724146228296,4.67935245853373,5.679089928770756,4.41885788178026
13,13,0.08222617592002225,3.130930546909243,0.3724638213527792,0.6972058988646671,2.5495172347173134,3.897724146228296,4.67935245853373,5.679089928770756,4.41885788178026
14,14,0.08222617511345442,3.130930546909243,0.3724638213527792,0.6972058988646671,2.5495172247173135,3.897724156228296,4.67935245853373,5.679089928770756,4.41885788178026
15,15,0.08222617670748311,3.130930546909243,0.3724638213527792,0.6972058988646671,2.5495172247173135,3.897724146228296,4.67935246853373,5.679089928770756,4.41885788178026
16,16,0.08222617629268703,3.130930546909243,0.3724638213527792,0.6972058988646671,2.5495172247173135,3.897724146228296,4.67935245853373,5.679089938770756,4.41885788178026
17,17,0.08222617584248906,3.130930546909243,0.3724638213527792,0.6972058988646671,2.5495172247173135,3.897724146228296,4.67935245853373,5.679089928770756,4.41885789178026
18,18,0.02845391463319348,3.154080541595528,0.33328982096350623,0.9722517947915461,2.5839467894764456,4.508396159512196,4.342436625918558,5.467373082417711,4.415115183806775
19,19,0.02845391461498438,3.154080551595528,0.33328982096350623,0.9722517947915461,2.5839467894764456,4.508396159512196,4.342436625918558,5.467373082417711,4.415115183806775
20,20,0.028453914641973173,3.154080541595528,0.33328983096350623,0.9722517947915461,2.5839467894764456,4.508396159512196,4.342436625918558,5.467373082417711,4.415115183806775
21,21,0.028453914603804198,3.154080541595528,0.33328982096350623,0.9722518047915462,2.5839467894764456,4.508396159512196,4.342436625918558,5.467373082417711,4.415115183806775
22,22,0.02845391458700924,3.154080541595528,0.33328982096350623,0.9722517947915461,2.5839467994764456,4.508396159512196,4.342436625918558,5.467373082417711,4.415115183806775
23,23,0.028453914563066156,3.154080541595528,0.33328982096350623,0.9722517947915461,2.5839467894764456,4.508396169512196,4.342436625918558,5.467373082417711,4.415115183806775
24,24,0.028453914703342555,3.154080541595528,0.33328982096350623,0.9722517947915461,2.5839467894764456,4.508396159512196,4.342436635918558,5.467373082417711,4.415115183806775
25,25,0.028453914640314805,3.154080541595528,0.33328982096350623,0.9722517947915461,2.5839467894764456,4.508396159512196,4.342436625918558,5.467373092417711,4.415115183806775
26,26,0.02845391461820633,3.154080541595528,0.33328982096350623,0.9722517947915461,2.5839467894764456,4.508396159512196,4.342436625918558,5.467373082417711,4.415115193806775
27,27,0.02796054781179785,3.166068075134416,0.3241518948366608,0.9925275649165665,2.6185940654391753,4.565864946831027,4.3064000918943774,5.4633644751625905,4.419640094852232
28,28,0.0279605477887054,3.166068085134416,0.3241518948366608,0.9925275649165665,2.6185940654391753,4.565864946831027,4.3064000918943774,5.4633644751625905,4.419640094852232
29,29,0.027960547813375283,3.166068075134416,0.3241519048366608,0.9925275649165665,2.6185940654391753,4.565864946831027,4.3064000918943774,5.4633644751625905,4.419640094852232
30,30,0.027960547795491675,3.166068075134416,0.3241518948366608,0.9925275749165665,2.6185940654391753,4.565864946831027,4.3064000918943774,5.4633644751625905,4.419640094852232
31,31,0.02796054777419032,3.166068075134416,0.3241518948366608,0.9925275649165665,2.618594075439175,4.565864946831027,4.3064000918943774,5.4633644751625905,4.419640094852232
32,32,0.027960547848926032,3.166068075134416,0.3241518948366608,0.9925275649165665,2.6185940654391753,4.565864956831027,4.3064000918943774,5.4633644751625905,4.419640094852232
33,33,0.027960547834190688,3.166068075134416,0.3241518948366608,0.9925275649165665,2.6185940654391753,4.565864946831027,4.306400101894377,5.4633644751625905,4.419640094852232
34,34,0.027960547811422508,3.166068075134416,0.3241518948366608,0.9925275649165665,2.6185940654391753,4.565864946831027,4.3064000918943774,5.46336448516259,4.419640094852232
35,35,0.02796054778922625,3.166068075134416,0.3241518948366608,0.9925275649165665,2.6185940654391753,4.565864946831027,4.3064000918943774,5.4633644751625905,4.419640104852232
36,36,0.02772922028596843,3.184179441020434,0.3189127581295197,1.0078755571877651,2.654690584283879,4.561344446388793,4.289114943986009,5.4638931856022595,4.4325093739898636
37,37,0.027729220267366586,3.1841794510204338,0.3189127581295197,1.0078755571877651,2.654690584283879,4.561344446388793,4.289114943986009,5.4638931856022595,4.4325093739898636
38,38,0.02772922028344319,3.184179441020434,0.3189127681295197,1.0078755571877651,2.654690584283879,4.561344446388793,4.289114943986009,5.4638931856022595,4.4325093739898636
39,39,0.02772922027509322,3.184179441020434,0.3189127581295197,1.007875567187765,2.654690584283879,4.561344446388793,4.289114943986009,5.4638931856022595,4.4325093739898636
40,40,0.02772922025573113,3.184179441020434,0.3189127581295197,1.0078755571877651,2.654690594283879,4.561344446388793,4.289114943986009,5.4638931856022595,4.4325093739898636
41,41,0.02772922031078598,3.184179441020434,0.3189127581295197,1.0078755571877651,2.654690584283879,4.561344456388793,4.289114943986009,5.4638931856022595,4.4325093739898636
42,42,0.02772922028491135,3.184179441020434,0.3189127581295197,1.0078755571877651,2.654690584283879,4.561344446388793,4.289114953986009,5.4638931856022595,4.4325093739898636
43,43,0.027729220284817592,3.184179441020434,0.3189127581295197,1.0078755571877651,2.654690584283879,4.561344446388793,4.289114943986009,5.463893195602259,4.4325093739898636
44,44,0.027729220282011614,3.184179441020434,0.3189127581295197,1.0078755571877651,2.654690584283879,4.561344446388793,4.289114943986009,5.4638931856022595,4.4325093839898635
45,45,0.027503925605747916,3.2319951404327902,0.3194306149423147,1.0440609759004107,2.742679332248118,4.5492170796969695,4.272487354523799,5.463932678567353,4.439530533798192
46,46,0.02750392559384402,3.23199515043279,0.3194306149423147,1.0440609759004107,2.742679332248118,4.5492170796969695,4.272487354523799,5.463932678567353,4.439530533798192
47,47,0.0275039255996366,3.2319951404327902,0.31943062494231467,1.0440609759004107,2.742679332248118,4.5492170796969695,4.272487354523799,5.463932678567353,4.439530533798192
48,48,0.027503925612404397,3.2319951404327902,0.3194306149423147,1.0440609859004106,2.742679332248118,4.5492170796969695,4.272487354523799,5.463932678567353,4.439530533798192
49,49,0.027503925604196552,3.2319951404327902,0.3194306149423147,1.0440609759004107,2.742679342248118,4.5492170796969695,4.272487354523799,5.463932678567353,4.439530533798192
50,50,0.02750392560675853,3.2319951404327902,0.3194306149423147,1.0440609759004107,2.742679332248118,4.5492170896969695,4.272487354523799,5.463932678567353,4.439530533798192
51,51,0.02750392558697045,3.2319951404327902,0.3194306149423147,1.0440609759004107,2.742679332248118,4.5492170796969695,4.272487364523799,5.463932678567353,4.439530533798192
52,52,0.027503925601698398,3.2319951404327902,0.3194306149423147,1.0440609759004107,2.742679332248118,4.5492170796969695,4.272487354523799,5.463932688567353,4.439530533798192
53,53,0.027503925622117512,3.2319951404327902,0.3194306149423147,1.0440609759004107,2.742679332248118,4.5492170796969695,4.272487354523799,5.463932678567353,4.439530543798192
54,54,0.027447362029793004,3.257918417969625,0.3287471689720586,1.0409047227434118,2.7539844902461446,4.5469440664426655,4.278006671462506,5.467725237342617,4.42470982567832
55,55,0.02744736201939605,3.2579184279696247,0.3287471689720586,1.0409047227434118,2.7539844902461446,4.5469440664426655,4.278006671462506,5.467725237342617,4.42470982567832
56,56,0.027447362024907107,3.257918417969625,0.3287471789720586,1.0409047227434118,2.7539844902461446,4.5469440664426655,4.278006671462506,5.467725237342617,4.42470982567832
57,57,0.02744736203498292,3.257918417969625,0.3287471689720586,1.0409047327434118,2.7539844902461446,4.5469440664426655,4.278006671462506,5.467725237342617,4.42470982567832
