,# of evaluations,epsilon,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15
16,16,0.15861593817936062,5.658675924126768,0.26656138859906353,2.4195782294985695,4.856260676014166,0.6105871822996001,5.370975038939574,5.112848655764745,5.154996224709321,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534632677263
17,17,0.08656554341637207,5.927429610099224,0.37621070045148575,2.505466800753702,4.984760978079848,0.5326373912332549,5.240170743766481,5.211667006489195,5.006098994053068,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
18,18,0.08656554416987873,5.927429620099224,0.37621070045148575,2.505466800753702,4.984760978079848,0.5326373912332549,5.240170743766481,5.211667006489195,5.006098994053068,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
19,19,0.08656554361427704,5.927429610099224,0.37621071045148574,2.505466800753702,4.984760978079848,0.5326373912332549,5.240170743766481,5.211667006489195,5.006098994053068,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
20,20,0.08656554313896406,5.927429610099224,0.37621070045148575,2.505466810753702,4.984760978079848,0.5326373912332549,5.240170743766481,5.211667006489195,5.006098994053068,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
21,21,0.08656554224412794,5.927429610099224,0.37621070045148575,2.505466800753702,4.984760988079848,0.5326373912332549,5.240170743766481,5.211667006489195,5.006098994053068,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
22,22,0.08656554257626128,5.927429610099224,0.37621070045148575,2.505466800753702,4.984760978079848,0.532637401233255,5.240170743766481,5.211667006489195,5.006098994053068,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
23,23,0.08656554267914124,5.927429610099224,0.37621070045148575,2.505466800753702,4.984760978079848,0.5326373912332549,5.240170753766481,5.211667006489195,5.006098994053068,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
24,24,0.08656554265215179,5.927429610099224,0.37621070045148575,2.505466800753702,4.984760978079848,0.5326373912332549,5.240170743766481,5.211667016489195,5.006098994053068,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
25,25,0.0865655444833672,5.927429610099224,0.37621070045148575,2.505466800753702,4.984760978079848,0.5326373912332549,5.240170743766481,5.211667006489195,5.006099004053068,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
26,26,0.08656554341637207,5.927429610099224,0.37621070045148575,2.505466800753702,4.984760978079848,0.5326373912332549,5.240170743766481,5.211667006489195,5.006098994053068,5.032579604163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
27,27,0.08656554341637207,5.927429610099224,0.37621070045148575,2.505466800753702,4.984760978079848,0.5326373912332549,5.240170743766481,5.211667006489195,5.006098994053068,5.032579594163631,2.6953917087626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
28,28,0.08656554341637207,5.927429610099224,0.37621070045148575,2.505466800753702,4.984760978079848,0.5326373912332549,5.240170743766481,5.211667006489195,5.006098994053068,5.032579594163631,2.6953916987626014,4.647111205565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
29,29,0.08656554341637207,5.927429610099224,0.37621070045148575,2.505466800753702,4.984760978079848,0.5326373912332549,5.240170743766481,5.211667006489195,5.006098994053068,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943499719244,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
30,30,0.08656554341637207,5.927429610099224,0.37621070045148575,2.505466800753702,4.984760978079848,0.5326373912332549,5.240170743766481,5.211667006489195,5.006098994053068,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007580400129,1.3445928478996947,1.2408981202619809,3.721534622677263
31,31,0.08656554341637207,5.927429610099224,0.37621070045148575,2.505466800753702,4.984760978079848,0.5326373912332549,5.240170743766481,5.211667006489195,5.006098994053068,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928578996946,1.2408981202619809,3.721534622677263
32,32,0.08656554341637207,5.927429610099224,0.37621070045148575,2.505466800753702,4.984760978079848,0.5326373912332549,5.240170743766481,5.211667006489195,5.006098994053068,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981302619808,3.721534622677263
33,33,0.08656554341637207,5.927429610099224,0.37621070045148575,2.505466800753702,4.984760978079848,0.5326373912332549,5.240170743766481,5.211667006489195,5.006098994053068,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534632677263
34,34,0.06284240424131947,5.934990756883556,0.3878501543096267,2.548360888432929,5.108081346285921,0.5789945336073884,5.265429929371816,5.295781318708556,4.885958894468614,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
35,35,0.06284240466650927,5.934990766883556,0.3878501543096267,2.548360888432929,5.108081346285921,0.5789945336073884,5.265429929371816,5.295781318708556,4.885958894468614,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
36,36,0.06284240440930058,5.934990756883556,0.3878501643096267,2.548360888432929,5.108081346285921,0.5789945336073884,5.265429929371816,5.295781318708556,4.885958894468614,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
37,37,0.06284240464696822,5.934990756883556,0.3878501543096267,2.548360898432929,5.108081346285921,0.5789945336073884,5.265429929371816,5.295781318708556,4.885958894468614,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
38,38,0.06284240384369286,5.934990756883556,0.3878501543096267,2.548360888432929,5.108081356285921,0.5789945336073884,5.265429929371816,5.295781318708556,4.885958894468614,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
39,39,0.06284240364971685,5.934990756883556,0.3878501543096267,2.548360888432929,5.108081346285921,0.5789945436073884,5.265429929371816,5.295781318708556,4.885958894468614,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
40,40,0.06284240389928913,5.934990756883556,0.3878501543096267,2.548360888432929,5.108081346285921,0.5789945336073884,5.265429939371816,5.295781318708556,4.885958894468614,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
41,41,0.06284240411041916,5.934990756883556,0.3878501543096267,2.548360888432929,5.108081346285921,0.5789945336073884,5.265429929371816,5.295781328708556,4.885958894468614,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
42,42,0.06284240415189578,5.934990756883556,0.3878501543096267,2.548360888432929,5.108081346285921,0.5789945336073884,5.265429929371816,5.295781318708556,4.885958904468614,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
43,43,0.06284240424131947,5.934990756883556,0.3878501543096267,2.548360888432929,5.108081346285921,0.5789945336073884,5.265429929371816,5.295781318708556,4.885958894468614,5.032579604163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
44,44,0.06284240424131947,5.934990756883556,0.3878501543096267,2.548360888432929,5.108081346285921,0.5789945336073884,5.265429929371816,5.295781318708556,4.885958894468614,5.032579594163631,2.6953917087626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
45,45,0.06284240424131947,5.934990756883556,0.3878501543096267,2.548360888432929,5.108081346285921,0.5789945336073884,5.265429929371816,5.295781318708556,4.885958894468614,5.032579594163631,2.6953916987626014,4.647111205565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
46,46,0.06284240424131947,5.934990756883556,0.3878501543096267,2.548360888432929,5.108081346285921,0.5789945336073884,5.265429929371816,5.295781318708556,4.885958894468614,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943499719244,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
47,47,0.06284240424131947,5.934990756883556,0.3878501543096267,2.548360888432929,5.108081346285921,0.5789945336073884,5.265429929371816,5.295781318708556,4.885958894468614,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007580400129,1.3445928478996947,1.2408981202619809,3.721534622677263
48,48,0.06284240424131947,5.934990756883556,0.3878501543096267,2.548360888432929,5.108081346285921,0.5789945336073884,5.265429929371816,5.295781318708556,4.885958894468614,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928578996946,1.2408981202619809,3.721534622677263
49,49,0.06284240424131947,5.934990756883556,0.3878501543096267,2.548360888432929,5.108081346285921,0.5789945336073884,5.265429929371816,5.295781318708556,4.885958894468614,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981302619808,3.721534622677263
50,50,0.06284240424131947,5.934990756883556,0.3878501543096267,2.548360888432929,5.108081346285921,0.5789945336073884,5.265429929371816,5.295781318708556,4.885958894468614,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534632677263
51,51,0.055563045042295034,5.915442432848393,0.37998982537568404,2.505023948213181,5.167033659300185,0.6409398241782444,5.290159330335976,5.319594594015175,4.886104635151201,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
52,52,0.055563045148388876,5.915442442848393,0.37998982537568404,2.505023948213181,5.167033659300185,0.6409398241782444,5.290159330335976,5.319594594015175,4.886104635151201,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
53,53,0.055563045092692775,5.915442432848393,0.37998983537568404,2.505023948213181,5.167033659300185,0.6409398241782444,5.290159330335976,5.319594594015175,4.886104635151201,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
54,54,0.05556304529769205,5.915442432848393,0.37998982537568404,2.505023958213181,5.167033659300185,0.6409398241782444,5.290159330335976,5.319594594015175,4.886104635151201,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
55,55,0.05556304485211809,5.915442432848393,0.37998982537568404,2.505023948213181,5.167033669300185,0.6409398241782444,5.290159330335976,5.319594594015175,4.886104635151201,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
56,56,0.05556304471385036,5.915442432848393,0.37998982537568404,2.505023948213181,5.167033659300185,0.6409398341782444,5.290159330335976,5.319594594015175,4.886104635151201,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
57,57,0.055563044997050254,5.915442432848393,0.37998982537568404,2.505023948213181,5.167033659300185,0.6409398241782444,5.290159340335976,5.319594594015175,4.886104635151201,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
58,58,0.05556304503049686,5.915442432848393,0.37998982537568404,2.505023948213181,5.167033659300185,0.6409398241782444,5.290159330335976,5.319594604015175,4.886104635151201,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
59,59,0.055563044887971605,5.915442432848393,0.37998982537568404,2.505023948213181,5.167033659300185,0.6409398241782444,5.290159330335976,5.319594594015175,4.886104645151201,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
60,60,0.055563045042295034,5.915442432848393,0.37998982537568404,2.505023948213181,5.167033659300185,0.6409398241782444,5.290159330335976,5.319594594015175,4.886104635151201,5.032579604163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
61,61,0.055563045042295034,5.915442432848393,0.37998982537568404,2.505023948213181,5.167033659300185,0.6409398241782444,5.290159330335976,5.319594594015175,4.886104635151201,5.032579594163631,2.6953917087626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
62,62,0.055563045042295034,5.915442432848393,0.37998982537568404,2.505023948213181,5.167033659300185,0.6409398241782444,5.290159330335976,5.319594594015175,4.886104635151201,5.032579594163631,2.6953916987626014,4.647111205565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
63,63,0.055563045042295034,5.915442432848393,0.37998982537568404,2.505023948213181,5.167033659300185,0.6409398241782444,5.290159330335976,5.319594594015175,4.886104635151201,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943499719244,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
64,64,0.055563045042295034,5.915442432848393,0.37998982537568404,2.505023948213181,5.167033659300185,0.6409398241782444,5.290159330335976,5.319594594015175,4.886104635151201,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007580400129,1.3445928478996947,1.2408981202619809,3.721534622677263
65,65,0.055563045042295034,5.915442432848393,0.37998982537568404,2.505023948213181,5.167033659300185,0.6409398241782444,5.290159330335976,5.319594594015175,4.886104635151201,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928578996946,1.2408981202619809,3.721534622677263
66,66,0.055563045042295034,5.915442432848393,0.37998982537568404,2.505023948213181,5.167033659300185,0.6409398241782444,5.290159330335976,5.319594594015175,4.886104635151201,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981302619808,3.721534622677263
67,67,0.055563045042295034,5.915442432848393,0.37998982537568404,2.505023948213181,5.167033659300185,0.6409398241782444,5.290159330335976,5.319594594015175,4.886104635151201,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534632677263
68,68,0.052360201434711,5.908749507798314,0.3762002732790774,2.451985368220611,5.232431815551689,0.7214310854021988,5.292309128564068,5.334990438760408,4.90541661736148,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
69,69,0.052360201310805356,5.908749517798314,0.3762002732790774,2.451985368220611,5.232431815551689,0.7214310854021988,5.292309128564068,5.334990438760408,4.90541661736148,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
