,# of evaluations,epsilon,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15
0,0,0.5519698244447876,2.562683883786935,1.431503327757531,0.6629261496248575,3.2428873961173346,4.704076820895003,0.03827616262455813,1.1269482863670162,4.0634856177488645,3.8736577971237818,1.4103181660316484,1.1319284385300072,1.9140212754753843,6.21558746126464,5.910793229126739,3.511291397098437,6.104808775726069
1,1,0.5519698280704183,2.562683893786935,1.431503327757531,0.6629261496248575,3.2428873961173346,4.704076820895003,0.03827616262455813,1.1269482863670162,4.0634856177488645,3.8736577971237818,1.4103181660316484,1.1319284385300072,1.9140212754753843,6.21558746126464,5.910793229126739,3.511291397098437,6.104808775726069
2,2,0.5519698243994835,2.562683883786935,1.431503337757531,0.6629261496248575,3.2428873961173346,4.704076820895003,0.03827616262455813,1.1269482863670162,4.0634856177488645,3.8736577971237818,1.4103181660316484,1.1319284385300072,1.9140212754753843,6.21558746126464,5.910793229126739,3.511291397098437,6.104808775726069
3,3,0.5519698247078645,2.562683883786935,1.431503327757531,0.6629261596248576,3.2428873961173346,4.704076820895003,0.03827616262455813,1.1269482863670162,4.0634856177488645,3.8736577971237818,1.4103181660316484,1.1319284385300072,1.9140212754753843,6.21558746126464,5.910793229126739,3.511291397098437,6.104808775726069
4,4,0.5519698228352123,2.562683883786935,1.431503327757531,0.6629261496248575,3.2428874061173345,4.704076820895003,0.03827616262455813,1.1269482863670162,4.0634856177488645,3.8736577971237818,1.4103181660316484,1.1319284385300072,1.9140212754753843,6.21558746126464,5.910793229126739,3.511291397098437,6.104808775726069
5,5,0.5519698242166114,2.562683883786935,1.431503327757531,0.6629261496248575,3.2428873961173346,4.704076830895003,0.03827616262455813,1.1269482863670162,4.0634856177488645,3.8736577971237818,1.4103181660316484,1.1319284385300072,1.9140212754753843,6.21558746126464,5.910793229126739,3.511291397098437,6.104808775726069
6,6,0.5519698274838069,2.562683883786935,1.431503327757531,0.6629261496248575,3.2428873961173346,4.704076820895003,0.03827617262455813,1.1269482863670162,4.0634856177488645,3.8736577971237818,1.4103181660316484,1.1319284385300072,1.9140212754753843,6.21558746126464,5.910793229126739,3.511291397098437,6.104808775726069
7,7,0.5519698205419025,2.562683883786935,1.431503327757531,0.6629261496248575,3.2428873961173346,4.704076820895003,0.03827616262455813,1.126948296367016,4.0634856177488645,3.8736577971237818,1.4103181660316484,1.1319284385300072,1.9140212754753843,6.21558746126464,5.910793229126739,3.511291397098437,6.104808775726069
8,8,0.551969820705971,2.562683883786935,1.431503327757531,0.6629261496248575,3.2428873961173346,4.704076820895003,0.03827616262455813,1.1269482863670162,4.0634856277488645,3.8736577971237818,1.4103181660316484,1.1319284385300072,1.9140212754753843,6.21558746126464,5.910793229126739,3.511291397098437,6.104808775726069
9,9,0.5519698244447876,2.562683883786935,1.431503327757531,0.6629261496248575,3.2428873961173346,4.704076820895003,0.03827616262455813,1.1269482863670162,4.0634856177488645,3.8736578071237817,1.4103181660316484,1.1319284385300072,1.9140212754753843,6.21558746126464,5.910793229126739,3.511291397098437,6.104808775726069
10,10,0.5519698244447876,2.562683883786935,1.431503327757531,0.6629261496248575,3.2428873961173346,4.704076820895003,0.03827616262455813,1.1269482863670162,4.0634856177488645,3.8736577971237818,1.4103181760316483,1.1319284385300072,1.9140212754753843,6.21558746126464,5.910793229126739,3.511291397098437,6.104808775726069
11,11,0.5519698244447876,2.562683883786935,1.431503327757531,0.6629261496248575,3.2428873961173346,4.704076820895003,0.03827616262455813,1.1269482863670162,4.0634856177488645,3.8736577971237818,1.4103181660316484,1.1319284485300072,1.9140212754753843,6.21558746126464,5.910793229126739,3.511291397098437,6.104808775726069
12,12,0.5519698244447876,2.562683883786935,1.431503327757531,0.6629261496248575,3.2428873961173346,4.704076820895003,0.03827616262455813,1.1269482863670162,4.0634856177488645,3.8736577971237818,1.4103181660316484,1.1319284385300072,1.9140212854753842,6.21558746126464,5.910793229126739,3.511291397098437,6.104808775726069
13,13,0.5519698244447876,2.562683883786935,1.431503327757531,0.6629261496248575,3.2428873961173346,4.704076820895003,0.03827616262455813,1.1269482863670162,4.0634856177488645,3.8736577971237818,1.4103181660316484,1.1319284385300072,1.9140212754753843,6.21558747126464,5.910793229126739,3.511291397098437,6.104808775726069
14,14,0.5519698244447876,2.562683883786935,1.431503327757531,0.6629261496248575,3.2428873961173346,4.704076820895003,0.03827616262455813,1.1269482863670162,4.0634856177488645,3.8736577971237818,1.4103181660316484,1.1319284385300072,1.9140212754753843,6.21558746126464,5.910793239126739,3.511291397098437,6.104808775726069
